형태소,POS,절대빈도,상대빈도
은,NNG,156,0.002048776643946259
겠,EPT,156,0.002048776643946259
그런,MDT,153,0.0020093770931011385
또,MAG,147,0.001930577991410898
너,NP,147,0.001930577991410898
아,VV,146,0.001917444807795858
알,VV,142,0.0018649120733356974
랑,JC,141,0.0018517788897206573
말,NNG,141,0.0018517788897206573
강아지,NNG,130,0.0017073138699552157
이제,MAG,129,0.0016941806863401757
면서,ECE,128,0.0016810475027251356
애,NNG,127,0.0016679143191100955
만,JX,127,0.0016679143191100955
좋아하,VV,126,0.0016547811354950554
어야,ECD,125,0.0016416479518800153
야,EFN,117,0.0015365824829596943
어떻,VA,117,0.0015365824829596943
기억,NNG,113,0.0014840497484995337
아니,VV,111,0.0014577833812694535
나,VV,110,0.0014446501976544135
살,VV,108,0.001418383830424333
음,IC,106,0.001392117463194253
라고,EFN,106,0.001392117463194253
ㄴ데,ECE,105,0.0013789842795792128
으면,ECD,103,0.0013527179123491325
아니,VCN,103,0.0013527179123491325
혹시,MAG,101,0.0013264515451190523
학교,NNG,99,0.0013001851778889721
듣,VV,98,0.0012870519942739318
일단,MAG,97,0.0012739188106588918
이랑,JC,95,0.0012476524434288116
이렇,VA,93,0.0012213860761987314
그,VV,92,0.0012082528925836911
갈,VV,91,0.001195119708968651
정말,MAG,90,0.001181986525353611
는,JKS,88,0.0011557201581235308
진짜,MAG,87,0.0011425869745084905
나오,VV,87,0.0011425869745084905
약간,MAG,86,0.0011294537908934504
고양이,NNG,85,0.0011163206072784104
못,MAG,84,0.0011031874236633703
그때,NNG,84,0.0011031874236633703
야,JX,84,0.0011031874236633703
을까,EFQ,83,0.0010900542400483302
뭔,MDT,83,0.0010900542400483302
오,VV,82,0.00107692105643329
크,VA,82,0.00107692105643329
대하,VV,82,0.00107692105643329
여행,NNG,81,0.0010637878728182498
동물,NNG,81,0.0010637878728182498
먹,VV,81,0.0010637878728182498
이런,MDT,80,0.0010506546892032097
한테,JKO,79,0.0010375215055881697
보다,JKM,79,0.0010375215055881697
다,EFN,78,0.0010243883219731296
선생님,NNG,77,0.0010112551383580895
어도,ECD,75,0.0009849887711280091
같이,MAG,75,0.0009849887711280091
지,EFN,75,0.0009849887711280091
여도,ECD,74,0.000971855587512969
지금,NNG,74,0.000971855587512969
이것,NP,74,0.000971855587512969
적,NNB,73,0.000958722403897929
나도,NNG,73,0.000958722403897929
정도,NNG,71,0.0009324560366678487
시,EPH,71,0.0009324560366678487
3,NR,71,0.0009324560366678487
가,NNG,71,0.0009324560366678487
모르,VV,71,0.0009324560366678487
여,ECD,71,0.0009324560366678487
음,NNG,70,0.0009193228530528085
성격,NNG,69,0.0009061896694377684
은데,ECD,69,0.0009061896694377684
라고,JX,69,0.0009061896694377684
다른,MDT,68,0.0008930564858227283
힘들,VA,68,0.0008930564858227283
피,NNG,68,0.0008930564858227283
요즘,NNG,67,0.0008799233022076881
번,NNM,66,0.0008667901185926481
놀,VV,66,0.0008667901185926481
지만,ECE,65,0.0008536569349776079
받,VV,65,0.0008536569349776079
데,NNB,64,0.0008405237513625678
들,VV,63,0.0008273905677475277
그거,NP,61,0.0008011242005174474
치,VV,60,0.0007879910169024074
방,NNG,60,0.0007879910169024074
연애,NNG,60,0.0007879910169024074
아파트,NNG,60,0.0007879910169024074
일본,NNG,59,0.0007748578332873672
다는,ETD,59,0.0007748578332873672
지,VXV,59,0.0007748578332873672
왜냐하면,MAG,59,0.0007748578332873672
