,10대,20대,30대,40대,50대,60대 이상,표준편차
와,0.0006049083995852057,0.0012160898035547241,0.0003916960438699569,0.0005715685473993631,0.00046732611574110133,0.0004230834320528008,0.00030716839980610134
야,0.00017283097131005876,9.354536950420954e-05,0.0007050528789659225,0.0005715685473993631,0.00015577537191370044,0.0007615501776950415,0.0003025792292169172
뿐,8.641548565502938e-05,0.0004677268475210477,0.0003916960438699569,0.0006532211970278435,0.0,0.0006769334912844813,0.0002832812415647071
만큼,0.0005184929139301763,0.00037418147801683815,0.0008617312965139052,8.165264962848044e-05,0.00023366305787055067,0.0002538500592316805,0.0002747006451241095
든가,0.0005184929139301763,0.00028063610851262864,0.00023501762632197415,0.0,0.0,0.000507700118463361,0.00022994302768207544
에다,0.00025924645696508814,9.354536950420954e-05,0.0003133568350959655,0.0004899158977708826,0.0006231014876548018,0.0006769334912844813,0.00022594681371895258
같이,0.0004320774282751469,0.00018709073900841907,0.00023501762632197415,0.00016330529925696088,0.0003115507438274009,0.0007615501776950415,0.00022458367325048744
이라든지,0.0006049083995852057,9.354536950420954e-05,0.00023501762632197415,0.0006532211970278435,0.0003115507438274009,0.0002538500592316805,0.0002218928478791847
에다가,0.0004320774282751469,0.00037418147801683815,0.0007833920877399138,0.0005715685473993631,0.0007788768595685022,0.0009307835505161618,0.0002203716695949024
에,0.00017283097131005876,0.0005612722170252573,0.0003133568350959655,0.0002449579488854413,7.788768595685022e-05,0.0005923168048739212,0.00020881498152983306
으로써,8.641548565502938e-05,0.00018709073900841907,7.833920877399138e-05,0.00032661059851392176,0.00046732611574110133,0.000507700118463361,0.0001874928994936845
다,8.641548565502938e-05,0.0,0.0003133568350959655,0.00016330529925696088,0.00046732611574110133,0.00033846674564224065,0.0001749177713001174
든지,0.0,0.00018709073900841907,0.00023501762632197415,0.0,0.00046732611574110133,0.00016923337282112033,0.000173478293410949
서,0.0003456619426201175,0.00028063610851262864,0.0003133568350959655,0.0002449579488854413,0.000700989173611652,0.0002538500592316805,0.00017284994786150726
