,10대,20대,30대,40대,50대,60대 이상,표준편차
은데,0.001062762000354254,0.0012601600403251212,0.0009631849315068493,0.0012562127915232946,0.0007275372862859222,0.00011904761904761905,0.000430510418696063
ᆫ데,0.000531381000177127,0.0007560960241950727,0.00037457191780821916,0.0014746845813534328,0.0004677025411838071,0.0005952380952380953,0.00040063846961170324
듯이,0.0006494656668831553,0.0,5.351027397260274e-05,0.00060079742203288,0.0009354050823676142,0.0008333333333333334,0.00039538982076855333
ᆫ다,0.0012398890004132962,0.0005670720181463046,0.0013377568493150684,0.0009285051067780873,0.0016629423686535365,0.00125,0.0003752519551199745
니깐,0.001062762000354254,0.00044105601411379244,0.0011237157534246575,0.00021847178983013817,0.0005716364392246531,0.0009523809523809524,0.0003702453498048352
든지,0.00023616933341205645,0.0003780480120975364,0.0001605308219178082,0.0003823256322027418,0.0011432728784493062,0.0005952380952380953,0.000356263579024219
ᆯ지,5.904233335301411e-05,0.00012601600403251212,0.0009096746575342465,0.00010923589491506909,0.00010393389804084603,5.9523809523809524e-05,0.0003351146817278027
고,0.0007085080002361693,0.0013231680423413774,0.0006956335616438356,0.00120159484406576,0.0005716364392246531,0.0006547619047619047,0.0003182610144568715
세요,0.0,0.0003150400100812803,0.0005351027397260274,0.00060079742203288,0.00025983474510211506,0.0008928571428571428,0.0003103011486216959
더라고요,0.0,0.0,0.00037457191780821916,0.00032770768474520726,0.00020786779608169206,0.0008333333333333334,0.000309428204775525
습니까,0.0,0.0003150400100812803,0.0,0.0,0.0,0.0007142857142857143,0.00029423427687611783
란,0.0009446773336482258,0.0003150400100812803,0.0009631849315068493,0.0004915615271178109,0.0003637686431429611,0.0004166666666666667,0.00029368084355740746
냐면,0.00023616933341205645,0.00025203200806502425,0.0005351027397260274,0.0007100333169479491,0.0009354050823676142,0.0007142857142857143,0.00027838287626345495
ᆯ까,0.0007675503335891835,0.000945120030243841,0.0007491438356164383,0.0010377410016931565,0.0015070415215922674,0.0010714285714285715,0.00027661393478746444
으세요,0.0,0.0001890240060487682,0.000802654109589041,0.00032770768474520726,0.00031180169412253804,0.00017857142857142857,0.000272254603668783
어야지,0.0004132963334710988,0.00012601600403251212,0.0002675513698630137,0.0007646512644054836,0.0007275372862859222,0.0007142857142857143,0.0002717043047798866
려면,0.00035425400011808466,0.0001890240060487682,0.0005351027397260274,0.0005461794745753454,0.0008314711843267682,0.0008928571428571428,0.00027027222910352034
으면서,0.0008265926669421976,0.0001890240060487682,0.00037457191780821916,0.0004915615271178109,0.0004677025411838071,0.0008928571428571428,0.00027009866261311875
더라니까,0.0,0.0,0.0,0.0,0.0,0.0006547619047619047,0.0002673054282799103
으려고,5.904233335301411e-05,0.0003780480120975364,0.00010702054794520547,0.0002730897372876727,0.00020786779608169206,0.0007142857142857143,0.00023732902469851476
을까,0.0004723386668241129,0.00044105601411379244,0.0004280821917808219,0.00043694357966027634,0.0009354050823676142,0.0008333333333333334,0.0002298605599720125
라면,0.0007675503335891835,0.00025203200806502425,0.00037457191780821916,0.00010923589491506909,0.00020786779608169206,0.00035714285714285714,0.0002291738674478992
는데,0.0011808466670602822,0.0013861760443576335,0.0007491438356164383,0.0008738871593205527,0.0009354050823676142,0.0010119047619047618,0.00022884062310515665
니,0.0006494656668831553,6.300800201625606e-05,0.00010702054794520547,0.0002730897372876727,5.1966949020423014e-05,0.00017857142857142857,0.00022566343575351988
대요,0.0,0.0,0.0,0.0,0.0,0.0005357142857142857,0.00021870444131992663
는다고,0.0004132963334710988,0.0005670720181463046,0.00010702054794520547,5.461794745753454e-05,0.0004157355921633841,0.0005357142857142857,0.0002173568891164804
ᆫ가요,0.0,0.0005040640161300485,0.0003210616438356164,0.0,5.1966949020423014e-05,0.0,0.00021524239103875559
자,0.000531381000177127,0.000945120030243841,0.0005886130136986301,0.00032770768474520726,0.0007795042353063451,0.0005952380952380953,0.00021244010828700427
ᆯ까요,0.0,0.00025203200806502425,0.0005886130136986301,0.00010923589491506909,5.1966949020423014e-05,0.00017857142857142857,0.00021178979873169522
