,10대,20대,30대,40대,50대,60대 이상,표준편차
잖아요,5.4999450005499945e-05,0.0002317631380728895,0.001316495197230484,0.0014068937795196463,0.0008128137700215156,0.0045374472855388885,0.001635171328399977
ㄹ,0.03338466615333847,0.03233095776116809,0.03296113901214101,0.034669882423876995,0.03672005737508965,0.03320343778359046,0.0015897643448495034
죠,0.0,0.0003476447071093343,0.0011702179530937637,0.0010049241282283187,0.0010996892182644036,0.004377302087225751,0.0015623158718957055
지만,0.0035749642503574964,0.004403499623384901,0.006533716904773514,0.0050748668475530095,0.007650011953143677,0.0064058079325254895,0.001518653626485525
으면,0.005664943350566495,0.005098789037603569,0.0052172217075430296,0.0071852075168324795,0.008893138895529524,0.0074734425879464045,0.0015101750208870869
에요,0.0,0.0002897039225911119,0.001316495197230484,0.0014068937795196463,0.0011953143676786994,0.004110393423370522,0.0014551156507535735
으니까,0.003024969750302497,0.00243351294976534,0.0029255448827344094,0.005527082705255753,0.005402820941907722,0.00427053862168366,0.001334415320975207
어야,0.006874931250687493,0.0064314270815226835,0.007216344044078209,0.009195055773289117,0.00970595266555104,0.0075802060534884965,0.0013183029624210707
거든요,0.0,0.0002317631380728895,0.00014627724413672047,5.024620641141594e-05,4.781257470714798e-05,0.0030427587679496076,0.0012061986545392886
였,0.001154988450115499,0.0020858682426560054,0.0015602906041250182,0.0025625565269822128,0.003968443700693282,0.0030427587679496076,0.0010250188819039168
거나,0.003079969200307997,0.003997914131757344,0.0023404359061875274,0.001557632398753894,0.002486253884771695,0.0013879250520471894,0.0009722946659047966
아야,0.002089979100208998,0.001854105104583116,0.0017553269296406455,0.004069942719324691,0.0029643796318431746,0.003576576095660065,0.000968820741275728
면서,0.007039929600703993,0.0060837823744133495,0.007265103125457116,0.005878806150135665,0.007602199378436529,0.008114023381198954,0.0008685681446068698
ㅁ,0.002749972500274997,0.0034764470710933427,0.002730508557218782,0.001658124811576726,0.0011953143676786994,0.0018149789142155553,0.0008525650880717848
을까,0.004564954350456496,0.003360565502056898,0.002437954068945341,0.0028137875590392926,0.002629691608893139,0.0022954145091549673,0.0008439766347039909
다가,0.0017599824001759982,0.0028390984413928966,0.002779267638597689,0.0025123103205707967,0.00401625627540043,0.0036833395612021567,0.0008150883209058124
냐,0.001154988450115499,0.0017382235355466714,0.001657808766882832,0.002160586875690885,0.0034903179536218023,0.001921742379757647,0.0007937351344965679
나요,0.0,5.7940784518222376e-05,0.0020478814179140867,0.00010049241282283188,0.00019125029882859193,0.0006939625260235947,0.0007915189414732071
고요,0.0,0.0002317631380728895,0.0021453995806719,0.0005527082705255753,0.00019125029882859193,0.00048043559493941173,0.0007832581080696071
려고,0.0015399846001539984,0.0022017498116924505,0.0015602906041250182,0.003165511003919204,0.002295003585943103,0.0032562856990337907,0.0007470049994136249
은데,0.0037949620503794964,0.004577321976939568,0.00414452191720708,0.004572404783438851,0.004398756873057614,0.002669086638552287,0.0007280249254379789
더니,0.00016499835001649983,0.0002897039225911119,0.000536349895167975,0.0012561551602853984,0.0018646904135787713,0.0016014519831313724,0.0007180632880476153
을,0.013089869101308988,0.013963729068891593,0.01335998829782047,0.012963521254145313,0.012909395170929955,0.011850744675172156,0.0006919002820147207
는지,0.001154988450115499,0.00121675647488267,0.002730508557218782,0.0023113254949251334,0.0018168778388716232,0.00250894144023915,0.0006692260443803762
어도,0.004124958750412496,0.0029549800104293413,0.0040470037544492665,0.004220681338558939,0.0029643796318431746,0.004430683819996797,0.0006562189632376595
러,0.0015399846001539984,0.0022017498116924505,0.0018528450923984592,0.0006029544769369913,0.002008128137700215,0.0009074894571077777,0.0006372395097669145
ㄴ다고,0.003079969200307997,0.0034185062865751204,0.003364376615144571,0.003416742035976284,0.0035859431030360986,0.0018683606469866011,0.0006359490683050792
단,0.0017049829501704983,0.0010429341213280027,0.0009751816275781365,0.0004019696512913275,0.00014343772412144393,5.338173277104575e-05,0.0006352231423362774
지마는,5.4999450005499945e-05,0.00011588156903644475,0.00039007265103125456,5.024620641141594e-05,0.0004781257470714798,0.001708215448673464,0.0006345654270205194
더라,0.002089979100208998,0.001680282751028449,0.0014627724413672047,0.0018088634308109737,0.0031556299306717667,0.0022954145091549673,0.000602945039247684
네,0.0023649763502364978,0.0019120458891013384,0.0029743039641133163,0.003316249623153452,0.0032990676547932107,0.0021886510436128757,0.000600830867052784
아서,0.00896491035089649,0.009618170230024915,0.009849334438539178,0.010451210933574515,0.010566579010279704,0.009608711898788235,0.0005949803157318257
서,0.0008799912000879991,0.0017382235355466714,0.0015602906041250182,0.0018088634308109737,0.002295003585943103,0.002562323173010196,0.0005888300094533208
라든지,0.0013749862501374985,5.7940784518222376e-05,0.00043883173241016137,0.0010551703346397348,0.0007171886206072197,0.00016014519831313725,0.0005153326409704506
ㄹ지,0.0013199868001319986,0.0013905788284373371,0.001365254278609391,0.0013064013666968144,0.0013387520918001434,0.0001067634655420915,0.0005060966248195325
구나,0.002694973050269497,0.0020858682426560054,0.0018040860110195523,0.0019093558436338056,0.0011953143676786994,0.0016014519831313724,0.0005019064792404602
ㄴ다면,0.0016499835001649984,0.0019120458891013384,0.0012677361158515775,0.0011054165410511506,0.0007650011953143677,0.000640580793252549,0.000494348075903527
나,0.000989990100098999,0.0006952894142186686,0.0014627724413672047,0.0014068937795196463,0.0019603155629930673,0.0018149789142155553,0.0004804295972083234
여도,0.004069959300406996,0.0029549800104293413,0.0036569311034180116,0.004220681338558939,0.0032990676547932107,0.0037901030267442483,0.00047466283439858884
라고,0.001979980200197998,0.0027811576568746743,0.0023891949875664343,0.002361571701336549,0.0013865646665072915,0.0021886510436128757,0.0004706878569916267
으시,0.00016499835001649983,0.0012746972594008922,0.0015115315227461114,0.0009546779218169028,0.0007650011953143677,0.001067634655420915,0.0004657918714900649
다는,0.0032449675503244966,0.002317631380728895,0.001950363255156273,0.0022108330821023012,0.0028209419077217307,0.002562323173010196,0.00046452784379914536
는데요,0.0,0.0012746972594008922,0.00024379540689453412,0.00015073861923424781,0.00014343772412144393,0.00026690866385522876,0.0004643387054855775
든,0.0003849961500384996,0.0005794078451822238,0.001365254278609391,0.0007034468897598232,0.0013387520918001434,0.00037367212939732025,0.000451937774149937
니깐,0.0012649873501264987,0.0005214670606640013,0.0014627724413672047,0.0005527082705255753,0.0008606263447286637,0.0014413067848182352,0.0004303066082013014
네요,0.0,0.0,0.00043883173241016137,0.0006029544769369913,0.0002390628735357399,0.0011210163881919606,0.0004262542044061596
여요,0.0,5.7940784518222376e-05,4.875908137890682e-05,5.024620641141594e-05,0.0,0.001067634655420915,0.0004238325207250872
요,0.0,0.0002317631380728895,0.0005851089765468819,0.0007536930961712391,0.00038250059765718386,0.0011743981209630064,0.0004146000076996719
ㄴ단,0.001154988450115499,0.000463526276145779,0.00039007265103125456,0.0004019696512913275,4.781257470714798e-05,0.0,0.000414153045814916
ㄴ다는,0.0012649873501264987,0.0015064603974737818,0.0009751816275781365,0.0011054165410511506,0.0021037532871145113,0.0016014519831313724,0.0004070731049120349
라서,0.001044989550104499,0.000927052552291558,0.0005851089765468819,0.000854185508994071,0.00028687544824288787,0.0001067634655420915,0.00037526999835961467
대,0.0002749972500274997,0.0003476447071093343,0.00043883173241016137,0.0006532006833484072,0.0012431269423858475,0.00037367212939732025,0.0003608141687189078
라,0.0010999890001099988,0.0011588156903644476,0.00043883173241016137,0.0009044317154054868,0.0014821898159215873,0.0007473442587946405,0.0003607988317379962
아도,0.0028599714002859973,0.0027232168723564515,0.002632990394460968,0.002462064114159381,0.002055940712407363,0.0020285058452997385,0.00034889542504573624
고서,5.4999450005499945e-05,0.0,0.0006338680579257887,0.00030147723846849563,0.0004781257470714798,0.0009074894571077777,0.0003484190704661877
어야지,0.0007149928500714993,0.0002317631380728895,0.00019503632551562728,0.000803939302582655,0.0008606263447286637,0.0010142529226498693,0.00034229478737909664
지,0.0004949950500494995,0.0006952894142186686,0.0007313862206836024,0.0003517234448799116,0.0005737508964857757,0.001281161586505098,0.0003216090302289925
ㄴ가요,0.0,5.7940784518222376e-05,0.000828904383441416,0.0,9.562514941429597e-05,0.00026690866385522876,0.0003195828663484952
라는,0.0019249807501924981,0.0017382235355466714,0.001609049685503925,0.0017586172243995578,0.002295003585943103,0.0022954145091549673,0.0002951798815406636
듯이,0.0006049939500604994,0.0,0.0006826271393046955,0.0005527082705255753,0.0008128137700215156,0.0007473442587946405,0.0002930714960539773
ㄴ지,0.00021999780002199978,5.7940784518222376e-05,4.875908137890682e-05,0.000803939302582655,0.00028687544824288787,5.338173277104575e-05,0.0002915513273727437
던,0.0008249917500824992,0.00121675647488267,0.001316495197230484,0.0010049241282283187,0.0005259383217786278,0.000854107724336732,0.0002873443469222064
거든,0.0006599934000659993,0.0002317631380728895,0.0005851089765468819,0.000803939302582655,0.0002390628735357399,0.0001067634655420915,0.00028165959838161853
세요,0.0,0.0002317631380728895,0.00043883173241016137,0.0005024620641141594,0.00019125029882859193,0.0008007259915656862,0.00028116408503389185
니,0.0002749972500274997,0.0008691117677733357,0.00019503632551562728,0.0002512310320570797,0.0002390628735357399,0.0001067634655420915,0.0002741791222224846
으세요,0.0,0.0,0.0006826271393046955,0.00020098482564566376,0.00028687544824288787,5.338173277104575e-05,0.00026148775468312055
습니까,0.0,0.0002897039225911119,0.0,0.0,0.0,0.0005871990604815032,0.00024518209251143464
든지,5.4999450005499945e-05,0.0002897039225911119,0.0,0.00020098482564566376,0.0006693760459000717,0.0001067634655420915,0.00024314858905197855
으면서,0.0007699923000769992,0.00017382235355466714,0.00034131356965234774,0.0004522158577027434,0.00038250059765718386,0.0007473442587946405,0.0002361346658552516
려면,0.00043999560004399956,0.00017382235355466714,0.00043883173241016137,0.0005527082705255753,0.0008128137700215156,0.0007473442587946405,0.00023279940605698212
고는,0.0004949950500494995,0.0011588156903644476,0.0010239407089570433,0.000854185508994071,0.0010040640688501075,0.0009608711898788235,0.00022866807054254835
란,0.0007699923000769992,0.00017382235355466714,0.00048759081378906824,0.00020098482564566376,0.0002390628735357399,0.0003202903966262745,0.00022819103507942923
기에,0.0007149928500714993,0.0010429341213280027,0.00048759081378906824,0.0004522158577027434,0.0008606263447286637,0.0007473442587946405,0.0002238407071386904
