,10대,20대,30대,40대,50대,60대 이상,표준편차
든지,0.0,0.00010094891984655764,8.625150940141452e-05,0.0,0.0003376952300548755,0.0005559673832468495,0.00022183642057609725
으로써,9.471490812653911e-05,0.0002018978396931153,8.625150940141452e-05,0.000354735721887194,0.0005065428450823132,0.0005559673832468495,0.0002042692661183835
ㄴ,0.0005682894487592347,0.0005047445992327882,0.0004312575470070726,0.000354735721887194,0.0005065428450823132,0.0009266123054114158,0.00019916105590652393
만큼,9.471490812653911e-05,0.0005047445992327882,0.0004312575470070726,8.86839304717985e-05,0.00016884761502743774,0.00018532246108228317,0.0001780662360221179
에는,0.00037885963250615644,0.0003028467595396729,0.0004312575470070726,0.000177367860943597,0.0005909666525960321,0.00027798369162342475,0.00014291710773742166
로서,0.00028414472437961733,0.00010094891984655764,0.00017250301880282904,0.000354735721887194,0.00042211903756859433,0.0004633061527057079,0.00014191921822656942
한테서,0.0,0.00010094891984655764,0.0,0.000354735721887194,0.0,9.266123054114158e-05,0.00013747752871379505
같이,0.00037885963250615644,0.00010094891984655764,0.00017250301880282904,0.000177367860943597,0.00042211903756859433,0.00037064492216456633,0.00013548702427921278
으로서,0.00037885963250615644,0.0002018978396931153,0.0,0.000177367860943597,0.00016884761502743774,0.00018532246108228317,0.00012034157138673054
마저,9.471490812653911e-05,0.0,0.0,0.0002660517914153955,0.0,0.0,0.00010776118746595465
들,9.471490812653911e-05,0.0002018978396931153,0.00017250301880282904,0.0002660517914153955,0.00016884761502743774,0.00037064492216456633,9.525609104288444e-05
로써,9.471490812653911e-05,0.0,0.0,0.000177367860943597,0.0,0.00018532246108228317,8.933617677468517e-05
이라고,0.0,0.0002018978396931153,0.0,8.86839304717985e-05,0.0,0.0,8.313196297210584e-05
께,0.00018942981625307822,0.0002018978396931153,0.0,0.000177367860943597,0.00016884761502743774,0.00018532246108228317,7.617462256218128e-05
인들,0.0,0.0,0.00017250301880282904,0.0,0.0,9.266123054114158e-05,7.297220743058626e-05
보고,0.0,0.0,8.625150940141452e-05,8.86839304717985e-05,0.00016884761502743774,0.0,6.944909122361828e-05
에다가,0.0,0.0,0.0,0.0,0.00016884761502743774,0.0,6.893175018385192e-05
란,0.0,0.00010094891984655764,8.625150940141452e-05,8.86839304717985e-05,0.0,0.0,5.061518249129966e-05
조차,0.0,0.00010094891984655764,8.625150940141452e-05,8.86839304717985e-05,0.0,9.266123054114158e-05,4.783995912360369e-05
며,0.0,0.00010094891984655764,0.0,8.86839304717985e-05,8.442380751371887e-05,9.266123054114158e-05,4.7655720720896446e-05
다,0.0,0.0,0.0,8.86839304717985e-05,0.0,9.266123054114158e-05,4.684000839494058e-05
이라,0.0,0.0,8.625150940141452e-05,0.0,8.442380751371887e-05,0.0,4.407196731511362e-05
ㄹ,9.471490812653911e-05,0.0,0.0,0.0,0.0,0.0,3.8667199324101435e-05
마는,0.0,0.0,0.0,0.0,0.0,9.266123054114158e-05,3.782878896069894e-05
따라,0.0,0.0,0.0,0.0,0.0,9.266123054114158e-05,3.782878896069894e-05
두,0.0,0.0,0.0,8.86839304717985e-05,0.0,0.0,3.620506300672783e-05
이고,0.0,0.0,0.0,8.86839304717985e-05,0.0,0.0,3.620506300672783e-05
치고,0.0,0.0,0.0,8.86839304717985e-05,0.0,0.0,3.620506300672783e-05
이란,0.0,0.0,0.0,8.86839304717985e-05,0.0,0.0,3.620506300672783e-05
이라든지,0.0,0.0,8.625150940141452e-05,0.0,0.0,0.0,3.521203126305528e-05
에게서,0.0,0.0,8.625150940141452e-05,0.0,0.0,0.0,3.521203126305528e-05
야말로,0.0,0.0,0.0,0.0,8.442380751371887e-05,0.0,3.446587509192596e-05
고,9.471490812653911e-05,0.00010094891984655764,8.625150940141452e-05,8.86839304717985e-05,0.00016884761502743774,9.266123054114158e-05,3.152122102939091e-05
